LPERMNO,fyear,prcc_f,ajex,adjust_prccf,prcc_pcchg
88845,2006,43.18,1,43.18,
88845,2007,57.73,1,57.73,0.336961556
88845,2008,28.5,1,28.5,-0.506322536
88845,2009,31.7,1,31.7,0.112280702
88845,2010,30.51,1,30.51,-0.037539432
88845,2011,42.19,1,42.19,0.382825303
88845,2012,46.31,1,46.31,0.097653472
88845,2013,68.59,1,68.59,0.481105593
88845,2014,88.83,1,88.83,0.295086747
88845,2015,108.12,1,108.12,0.217156366
88845,2016,124.01,1,124.01,0.146966334
88845,2017,180.39,1,180.39,0.454640755
78223,2006,41.24,1,41.24,
78223,2007,54.63,1,54.63,0.324684772
78223,2008,51.33,1,51.33,-0.06040637
78223,2009,54,1,54,0.052016365
78223,2010,76.7,1,76.7,0.42037037
78223,2011,36.32,1,36.32,-0.526466754
78223,2012,52.46,1,52.46,0.44438326
78223,2013,26.38,1,26.38,-0.497140679
78223,2014,24.89,1,24.89,-0.056482183
78223,2015,26.28,1,26.28,0.055845721
78223,2016,42,1,42,0.598173516
78223,2017,46.18,1,46.18,0.09952381
78223,2018,40.4,1,40.4,-0.125162408
78223,2019,61.61,1,61.61,0.525
78223,2020,70.51,1,70.51,0.144457069
78223,2021,53.14,1,53.14,-0.246348036
28222,2006,66.37,1,66.37,
28222,2007,97.76,1,97.76,0.472954648
28222,2008,68.49,1,68.49,-0.29940671
28222,2009,77.58,1,77.58,0.132720105
28222,2010,82.82,1,82.82,0.067543181
28222,2011,76.37,1,76.37,-0.077879739
28222,2012,82.7,1,82.7,0.08288595
28222,2013,106.57,1,106.57,0.288633615
28222,2014,130.18,1,130.18,0.221544525
28222,2015,127.58,1,127.58,-0.019972346
28222,2016,150.34,1,150.34,0.178397868
28222,2017,151.22,1,151.22,0.005853399
28222,2018,167.05,1,167.05,0.10468192
28222,2019,221.86,1,221.86,0.328105358
28222,2020,297.86,1,297.86,0.34255837
28222,2021,256.11,1,256.11,-0.140166521
11368,2006,7.99,1.5,11.985,
11368,2007,9.613,1.5,14.4195,0.203128911
11368,2008,5.72,1.5,8.58,-0.404972433
