LPERMNO,year,stand_dev
10825,2009,0.094390023
10825,2010,0.07167369
10838,2006,0.059605534
10838,2007,0.047548592
10838,2008,0.075195807
10838,2009,0.070178549
10838,2010,0.03953565
10838,2011,0.043496835
10838,2012,0.043948672
10838,2013,0.068189877
10838,2014,0.044891485
10838,2015,0.04141663
10838,2016,0.06280199
10838,2017,0.069921173
10838,2018,0.04620222
10838,2019,0.053778668
10838,2020,0.083316873
10838,2021,0.087443733
10843,2006,0.015147582
10843,2007,0.014185147
10853,2006,0.016869463
10853,2007,0.021704154
10853,2008,0.023489678
10853,2009,0.028858221
10853,2010,0.024713388
10853,2011,0.040772924
10853,2012,0.02596619
10853,2013,0.026952545
10853,2014,0.035783696
10853,2015,0.038724402
10853,2016,0.049235717
10860,2006,0.03287469
10860,2007,0.022259435
10860,2008,0.058731512
10860,2009,0.053169574
10860,2010,0.034424547
10860,2011,0.034529526
10860,2012,0.031426601
10860,2013,0.031025797
10860,2014,0.030086928
10860,2015,0.034912196
10860,2016,0.027952218
10860,2017,0.03549167
10860,2018,0.024832149
10860,2019,0.028036128
10860,2020,0.05743119
10860,2021,0.034411669
10866,2006,0.021040478
10866,2007,0.030226107
10866,2008,0.06258719
10866,2009,0.055312715
10866,2010,0.031461234
10866,2011,0.038038107
10866,2012,0.02902726
10866,2013,0.022404589
10866,2014,0.021119885
10866,2015,0.019168892
10866,2016,0.02438842
10866,2017,0.023038362
10866,2018,0.021955486
10866,2019,0.02995031
10866,2020,0.08027739
10866,2021,0.036914086
10874,2006,0.01638387
10874,2007,0.019565071
10874,2008,0.068972453
10874,2009,0.065091772
10874,2010,0.040835407
10874,2011,0.035157536
10874,2012,0.0250326
10874,2013,0.020902181
10874,2014,0.015069957
10874,2015,0.018004057
10874,2016,0.022066219
10874,2017,0.017623274
10874,2018,0.018341986
10874,2019,0.0197387
10874,2020,0.043445578
10874,2021,0.020623035
10886,2006,0.021432905
10886,2007,0.02279864
10886,2008,0.054543731
10886,2009,0.072084054
10886,2010,0.041598314
10886,2011,0.031194643
10886,2012,0.033873828
10886,2013,0.033122299
10886,2014,0.034831134
10886,2015,0.032700898
10886,2016,0.038692905
10886,2017,0.031764014
10886,2018,0.055252522
10886,2019,0.078405122
10886,2020,0.071830763
10886,2021,0.056085952
10890,2006,0.019920758
10890,2007,0.0247557
10890,2008,0.0753144
10890,2009,0.085065616
10890,2010,0.034764336
10890,2011,0.03961939
10890,2012,0.031601701
10890,2013,0.025352628
10890,2014,0.030620438
10890,2015,0.027574137
10890,2016,0.039347681
10890,2017,0.02811694
10890,2018,0.028243197
10890,2019,0.030972045
10890,2020,0.048447959
10890,2021,0.028698942
10892,2006,0.013718338
10892,2007,0.023492478
10892,2008,0.035221696
10892,2009,0.049536459
10892,2010,0.019562979
10892,2011,0.029069261
10892,2012,0.018871034
10892,2013,0.013733414
10892,2014,0.012413186
10892,2015,0.013894502
10892,2016,0.017009994
10892,2017,0.014935333
10892,2018,0.016030932
10892,2019,0.014439549
10892,2020,0.042729
10892,2021,0.02172176
10901,2006,0.016346062
10901,2007,0.016065572
10901,2008,0.033894098
10901,2009,0.042914307
10901,2010,0.025428143
10901,2011,0.020349463
10901,2012,0.022270329
10901,2013,0.012897252
10901,2014,0.015421604
10901,2015,0.016548679
10901,2016,0.022579917
10901,2017,0.018555596
10901,2018,0.01387742
10901,2019,0.015188909
10901,2020,0.039736348
10901,2021,0.017789061
10909,2006,0.021129548
10909,2007,0.018380058
10909,2008,0.03033979
10909,2009,0.02342577
10909,2010,0.015931268
10909,2011,0.02084584
10909,2012,0.019284808
10909,2013,0.014072943
10909,2014,0.013879631
10909,2015,0.015061313
10909,2016,0.016204052
10909,2017,0.013671478
10909,2018,0.016911713
10909,2019,0.012796461
10909,2020,0.020018898
10909,2021,0.013921494
10913,2006,0.016838081
10913,2007,0.013818333
10913,2008,0.053015603
10913,2009,0.047583792
10913,2010,0.032993629
10913,2011,0.034421436
10913,2012,0.032482047
10913,2013,0.023541409
10913,2014,0.01733352
10913,2015,0.014390507
10913,2016,0.014116371
10913,2017,0.017122222
10913,2018,0.019597021
10916,2006,0.018157132
10916,2007,0.035176442
10926,2006,0.01470783
10932,2006,0.008433752
10932,2007,0.016949026
10932,2008,0.048331172
10932,2009,0.070522878
10932,2010,0.026003907
10932,2011,0.030667902
10932,2012,0.017829721
10932,2013,0.013057782
10932,2014,0.012730216
10932,2015,0.015971143
10932,2016,0.018408957
10932,2017,0.015527497
10932,2018,0.016956335
10932,2019,0.018870794
10932,2020,0.048329622
10932,2021,0.023097608
10937,2006,0.031682096
10942,2006,0.023669192
10942,2007,0.00939857
10942,2011,0.076639895
10942,2012,0.016374331
10942,2013,0.019946649
10952,2006,0.011010386
10952,2007,0.016548742
